0.0	588.0	0.94	-1.85
0.0	645.0	-1.29	-10.47
0.0	646.0	7.63	-3.66
0.0	648.0	9.79	3.36
0.0	649.0	-1.47	-0.21
0.0	651.0	8.16	-1.2
0.0	654.0	-3.62	2.36
0.0	655.0	6.62	-1.22
0.0	658.0	11.7	3.63
0.0	659.0	8.69	-3.12
10.0	588.0	0.94	-1.85
10.0	645.0	-1.28	-10.49
10.0	646.0	7.63	-3.66
10.0	648.0	9.78	3.33
10.0	649.0	-1.03	0.0
10.0	651.0	7.9	-1.53
10.0	654.0	-3.59	2.39
10.0	655.0	6.0	-1.14
10.0	658.0	11.93	3.01
10.0	659.0	8.56	-3.25
10.0	660.0	-10.62	-2.04
20.0	588.0	0.94	-1.85
20.0	645.0	-1.28	-10.48
20.0	646.0	7.63	-3.66
20.0	648.0	9.78	3.35
20.0	649.0	-0.64	0.21
20.0	651.0	7.64	-1.85
20.0	654.0	-3.62	2.36
20.0	655.0	5.47	-1.1
20.0	658.0	12.25	2.49
20.0	659.0	8.66	-3.12
20.0	660.0	-11.06	-2.21
30.0	588.0	0.94	-1.85
30.0	645.0	-1.3	-10.46
30.0	646.0	7.63	-3.66
30.0	648.0	9.78	3.34
30.0	649.0	-0.12	0.37
30.0	651.0	7.33	-2.24
30.0	654.0	-3.66	2.36
30.0	655.0	4.42	-0.75
30.0	658.0	12.66	2.05
30.0	659.0	8.66	-3.1
30.0	660.0	-11.78	-2.33
40.0	588.0	0.93	-1.84
40.0	645.0	-1.3	-10.45
40.0	646.0	7.57	-3.74
40.0	648.0	9.78	3.28
40.0	649.0	0.31	0.52
40.0	654.0	-3.56	2.44
40.0	655.0	4.02	-0.89
40.0	658.0	13.0	1.95
40.0	659.0	9.46	-2.17
40.0	660.0	-12.31	-2.42
50.0	588.0	0.94	-1.85
50.0	645.0	-1.3	-10.46
50.0	646.0	7.37	-3.45
50.0	648.0	9.78	3.31
50.0	649.0	0.66	0.56
50.0	654.0	-3.52	2.48
50.0	655.0	3.55	-0.8
50.0	658.0	13.36	1.84
50.0	659.0	9.75	-1.81
50.0	660.0	-12.81	-2.47
50.0	661.0	3.68	-1.59
50.0	662.0	3.69	-1.55
60.0	588.0	0.93	-1.85
60.0	645.0	-1.29	-10.46
60.0	646.0	7.56	-3.43
60.0	648.0	9.78	3.34
60.0	649.0	1.14	0.45
60.0	654.0	-3.47	2.52
60.0	655.0	3.07	-0.7
60.0	658.0	13.74	1.74
60.0	659.0	10.05	-1.45
60.0	660.0	-13.29	-2.53
60.0	661.0	3.26	-1.61
60.0	662.0	3.19	-1.54
70.0	588.0	0.89	-1.82
70.0	645.0	-1.28	-10.48
70.0	646.0	7.66	-3.65
70.0	648.0	9.78	3.35
70.0	649.0	1.76	0.45
70.0	654.0	-3.42	2.57
70.0	655.0	2.44	-0.65
70.0	658.0	14.42	1.7
70.0	660.0	-13.97	-2.6
70.0	661.0	2.57	-1.49
70.0	662.0	0.16	-2.82
80.0	588.0	0.9	-1.82
80.0	645.0	-1.15	-10.62
80.0	646.0	7.64	-3.67
80.0	648.0	9.79	3.35
80.0	649.0	2.18	0.66
80.0	655.0	1.89	-0.61
80.0	658.0	14.98	1.74
80.0	660.0	-14.54	-2.63
80.0	661.0	1.9	-1.45
80.0	662.0	-0.5	-4.21
90.0	588.0	0.9	-1.82
90.0	645.0	-1.24	-10.52
90.0	646.0	7.64	-3.68
90.0	648.0	9.79	3.35
90.0	649.0	2.6	0.78
90.0	655.0	1.25	-0.5
90.0	658.0	15.52	1.79
90.0	660.0	-15.12	-2.65
90.0	661.0	1.26	-1.41
90.0	662.0	-1.61	-5.14
100.0	588.0	0.94	-1.85
100.0	645.0	-1.3	-10.47
100.0	646.0	7.63	-3.66
100.0	648.0	9.78	3.32
100.0	649.0	2.96	0.65
100.0	655.0	0.76	-0.46
100.0	658.0	15.86	1.86
100.0	660.0	-15.69	-2.68
100.0	661.0	0.89	-1.31
100.0	662.0	-2.73	-6.07
110.0	588.0	0.96	-1.86
110.0	645.0	-1.34	-10.43
110.0	646.0	7.63	-3.65
110.0	648.0	9.78	3.31
110.0	649.0	3.57	0.65
110.0	655.0	-0.1	-0.4
110.0	658.0	16.55	2.05
110.0	660.0	-16.38	-2.71
110.0	661.0	0.08	-1.2
110.0	662.0	-4.09	-7.21
120.0	588.0	0.94	-1.85
120.0	645.0	-1.38	-10.4
120.0	646.0	7.63	-3.65
120.0	648.0	9.77	3.28
120.0	649.0	3.89	0.66
120.0	655.0	-0.53	-0.4
120.0	658.0	17.08	2.18
120.0	660.0	-16.95	-2.74
120.0	661.0	-0.32	-1.18
120.0	663.0	6.19	-3.5
120.0	664.0	6.97	-5.2
130.0	588.0	0.93	-1.85
130.0	645.0	-1.31	-10.45
130.0	646.0	7.63	-3.66
130.0	648.0	9.77	3.26
130.0	649.0	4.29	0.7
130.0	655.0	-1.08	-0.35
130.0	658.0	17.39	2.34
130.0	661.0	-0.88	-1.24
130.0	663.0	6.23	-3.59
130.0	664.0	6.94	-5.19
140.0	588.0	0.94	-1.85
140.0	645.0	-1.32	-10.44
140.0	646.0	7.63	-3.66
140.0	648.0	9.77	3.23
140.0	649.0	4.83	0.79
140.0	655.0	-1.88	-0.31
